Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Interactions > Participant 2 > Standard Name	Gene > Interactions > Participant 2 . Secondary Identifier	Gene > Interactions > Participant 2 . Primary Identifier	Gene > Interactions > Details > Relationship Type
S000000022	YAL024C	LTE1	CIK1	YMR198W	S000004811	genetic
S000000022	YAL024C	LTE1	CIN8	YEL061C	S000000787	genetic
S000000022	YAL024C	LTE1	CIN8	YEL061C	S000000787	genetic
S000000022	YAL024C	LTE1	CIN8	YEL061C	S000000787	genetic
S000000022	YAL024C	LTE1	CKS1	YBR135W	S000000339	genetic
S000000022	YAL024C	LTE1	CKS1	YBR135W	S000000339	genetic
S000000022	YAL024C	LTE1	CLA4	YNL298W	S000005242	genetic
S000000022	YAL024C	LTE1	CLB2	YPR119W	S000006323	genetic
S000000022	YAL024C	LTE1	CLB2	YPR119W	S000006323	physical
S000000022	YAL024C	LTE1	CSE1	YGL238W	S000003207	genetic
S000000022	YAL024C	LTE1	CSG2	YBR036C	S000000240	genetic
S000000022	YAL024C	LTE1	CSM3	YMR048W	S000004651	genetic
S000000022	YAL024C	LTE1	CSM3	YMR048W	S000004651	genetic
S000000022	YAL024C	LTE1	CST6	YIL036W	S000001298	genetic
S000000022	YAL024C	LTE1	CTF18	YMR078C	S000004683	genetic
S000000022	YAL024C	LTE1	CTF18	YMR078C	S000004683	genetic
S000000022	YAL024C	LTE1	CTF18	YMR078C	S000004683	genetic
S000000022	YAL024C	LTE1	CTF18	YMR078C	S000004683	genetic
S000000022	YAL024C	LTE1	CTF18	YMR078C	S000004683	genetic
S000000022	YAL024C	LTE1	CTF18	YMR078C	S000004683	genetic
S000000022	YAL024C	LTE1	CTF18	YMR078C	S000004683	genetic
S000000022	YAL024C	LTE1	CTF4	YPR135W	S000006339	genetic
S000000022	YAL024C	LTE1	CTF4	YPR135W	S000006339	genetic
S000000022	YAL024C	LTE1	CTF4	YPR135W	S000006339	genetic
S000000022	YAL024C	LTE1	CTF8	YHR191C	S000001234	genetic
S000000022	YAL024C	LTE1	CTF8	YHR191C	S000001234	genetic
S000000022	YAL024C	LTE1	CTF8	YHR191C	S000001234	genetic
S000000022	YAL024C	LTE1	CTF8	YHR191C	S000001234	genetic
S000000022	YAL024C	LTE1	CTF8	YHR191C	S000001234	genetic
S000000022	YAL024C	LTE1	CTI6	YPL181W	S000006102	genetic
S000000022	YAL024C	LTE1	CTI6	YPL181W	S000006102	genetic
S000000022	YAL024C	LTE1	CTI6	YPL181W	S000006102	genetic
S000000022	YAL024C	LTE1	CTT1	YGR088W	S000003320	genetic
S000000022	YAL024C	LTE1	CWC25	YNL245C	S000005189	genetic
S000000022	YAL024C	LTE1	CWC27	YPL064C	S000005985	genetic
S000000022	YAL024C	LTE1	DAL81	YIR023W	S000001462	genetic
S000000022	YAL024C	LTE1	DAM1	YGR113W	S000003345	genetic
S000000022	YAL024C	LTE1	DBF2	YGR092W	S000003324	genetic
S000000022	YAL024C	LTE1	DBF2	YGR092W	S000003324	genetic
S000000022	YAL024C	LTE1	DBF2	YGR092W	S000003324	genetic
S000000022	YAL024C	LTE1	DBF4	YDR052C	S000002459	genetic
S000000022	YAL024C	LTE1	DBP3	YGL078C	S000003046	genetic
S000000022	YAL024C	LTE1	DBP3	YGL078C	S000003046	genetic
S000000022	YAL024C	LTE1	DBP7	YKR024C	S000001732	genetic
S000000022	YAL024C	LTE1	DCC1	YCL016C	S000000521	genetic
S000000022	YAL024C	LTE1	DCC1	YCL016C	S000000521	genetic
S000000022	YAL024C	LTE1	DCC1	YCL016C	S000000521	genetic
S000000022	YAL024C	LTE1	DCC1	YCL016C	S000000521	genetic
S000000022	YAL024C	LTE1	DEP1	YAL013W	S000000011	genetic
S000000022	YAL024C	LTE1	DFG10	YIL049W	S000001311	genetic
S000000022	YAL024C	LTE1	DGR2	YKL121W	S000001604	genetic
S000000022	YAL024C	LTE1	DHH1	YDL160C	S000002319	physical
S000000022	YAL024C	LTE1	DHR2	YKL078W	S000001561	genetic
S000000022	YAL024C	LTE1	DIA2	YOR080W	S000005606	genetic
S000000022	YAL024C	LTE1	DIA2	YOR080W	S000005606	genetic
S000000022	YAL024C	LTE1	DLS1	YJL065C	S000003601	genetic
S000000022	YAL024C	LTE1	DOT1	YDR440W	S000002848	genetic
S000000022	YAL024C	LTE1	DPB11	YJL090C	S000003626	genetic
S000000022	YAL024C	LTE1	DPB11	YJL090C	S000003626	genetic
S000000022	YAL024C	LTE1	DPB4	YDR121W	S000002528	genetic
S000000022	YAL024C	LTE1	DPB4	YDR121W	S000002528	genetic
S000000022	YAL024C	LTE1	DPH1	YIL103W	S000001365	genetic
S000000022	YAL024C	LTE1	DUO1	YGL061C	S000003029	genetic
S000000022	YAL024C	LTE1	DUO1	YGL061C	S000003029	genetic
S000000022	YAL024C	LTE1	DUR3	YHL016C	S000001008	genetic
S000000022	YAL024C	LTE1	DYN1	YKR054C	S000001762	genetic
S000000022	YAL024C	LTE1	DYN1	YKR054C	S000001762	genetic
S000000022	YAL024C	LTE1	DYN1	YKR054C	S000001762	genetic
S000000022	YAL024C	LTE1	DYN1	YKR054C	S000001762	genetic
S000000022	YAL024C	LTE1	DYN1	YKR054C	S000001762	genetic
S000000022	YAL024C	LTE1	DYN1	YKR054C	S000001762	genetic
S000000022	YAL024C	LTE1	DYN2	YDR424C	S000002832	genetic
S000000022	YAL024C	LTE1	DYN3	YMR299C	S000004914	genetic
S000000022	YAL024C	LTE1	DYN3	YMR299C	S000004914	genetic
S000000022	YAL024C	LTE1	EAF1	YDR359C	S000002767	genetic
S000000022	YAL024C	LTE1	EAF1	YDR359C	S000002767	genetic
S000000022	YAL024C	LTE1	EAF1	YDR359C	S000002767	genetic
S000000022	YAL024C	LTE1	EFT1	YOR133W	S000005659	physical
S000000022	YAL024C	LTE1	EFT2	YDR385W	S000002793	physical
S000000022	YAL024C	LTE1	ELG1	YOR144C	S000005670	genetic
S000000022	YAL024C	LTE1	ELG1	YOR144C	S000005670	genetic
S000000022	YAL024C	LTE1	ELO2	YCR034W	S000000630	genetic
S000000022	YAL024C	LTE1	EMI2	YDR516C	S000002924	genetic
